ID,String,Draw,Pick,Creator,V1,V2,Watermark,White
494,A death ray.,,,NULL,f,t,1.2,TRUE
474,A defective condom.,,,NULL,f,t,1.2,TRUE
394,A disappointing birthday party.,,,NULL,t,t,NULL,TRUE
1245,A dollop of sour cream.,,,NULL,f,f,X2,TRUE
139,A drive-by shooting.,,,NULL,t,t,NULL,TRUE
61,A falcon with a cap on its head.,,,NULL,t,t,NULL,TRUE
408,A fetus.,,,NULL,t,t,NULL,TRUE
278,A foul mouth.,,,NULL,t,t,NULL,TRUE
402,A gassy antelope.,,,NULL,t,t,NULL,TRUE
488,A gentle caress of the inner thigh.,,,NULL,f,t,1.2,TRUE
245,A good sniff.,,,NULL,t,t,NULL,TRUE
133,A grande sugar-free iced soy caramel macchiato.,,,NULL,t,f,1.1,TRUE
134,A greased-up Matthew McConaughey.,,,NULL,f,f,X3,TRUE
86,A Gypsy curse.,,,NULL,t,t,NULL,TRUE
500,A homoerotic volleyball montage.,,,NULL,f,t,1.2,TRUE
377,A hot mess.,,,NULL,t,t,NULL,TRUE
1363,A lamprey swimming up the toilet and latching onto your taint.,,,NULL,f,f,X3,TRUE
131,A LAN party.,,,NULL,t,f,1.1,TRUE
372,A lifetime of sadness.,,,NULL,t,t,NULL,TRUE
379,A look-see.,,,NULL,t,t,NULL,TRUE
1070,A low standard of living.,,,NULL,f,f,X1,TRUE
1210,A magic hippie love cloud.,,,NULL,f,f,X2,TRUE
1231,A man in yoga pants with a ponytail and feather earrings.,,,NULL,f,f,X2,TRUE
298,A mating display.,,,NULL,t,t,NULL,TRUE
85,A micropenis.,,,NULL,t,t,NULL,TRUE
269,A middle-aged man on roller skates.,,,NULL,t,t,NULL,TRUE
299,A mime having a stroke.,,,NULL,t,t,NULL,TRUE
1030,A Molson muscle.,,,NULL,f,f,CAN,TRUE
186,A moment of silence.,,,NULL,t,t,NULL,TRUE
423,A monkey smoking a cigar.,,,NULL,t,t,NULL,TRUE
477,A mopey zoo lion.,,,NULL,f,t,1.2,TRUE
204,A murder most foul.,,,NULL,t,t,NULL,TRUE
247,A neglected Tamagotchi™.,,,NULL,t,f,1.1,TRUE
1071,A nuanced critique.,,,NULL,f,f,X1,TRUE
1073,A passionate Latino lover.,,,NULL,f,f,X1,TRUE
1074,A pile of squirming bodies.,,,NULL,f,f,X3,TRUE
1187,A piñata full of scorpions.,,,NULL,f,f,X2,TRUE
1188,A PowerPoint presentation.,,,NULL,f,f,X3,TRUE
67,A really cool hat.,,,NULL,t,t,NULL,TRUE
1074,A rival dojo.,,,NULL,f,f,X1,TRUE
390,A robust mongoloid.,,,NULL,t,t,NULL,TRUE
28,"A romantic, candlelit dinner would be incomplete without _____.",0,1,NULL,t,t,NULL,FALSE
1183,A sad fat dragon with no friends.,,,NULL,f,f,X2,TRUE
73,A sad handjob.,,,NULL,t,t,NULL,TRUE
254,A salty surprise.,,,NULL,t,t,NULL,TRUE
135,A sassy black woman.,,,NULL,t,t,NULL,TRUE
104,A sausage festival.,,,NULL,t,t,NULL,TRUE
147,A sea of troubles.,,,NULL,t,t,NULL,TRUE
1246,A slightly shittier parallel universe.,,,NULL,f,f,X2,TRUE
265,A snapping turtle biting the tip of your penis.,,,NULL,t,t,NULL,TRUE
1217,"A soulful rendition of ""Ol' Man River.""",,,NULL,f,f,X2,TRUE
1218,A spontaneous conga line.,,,NULL,f,f,X3,TRUE
1225,A squadron of moles wearing aviator goggles.,,,NULL,f,f,X2,TRUE
312,A stray pube.,,,NULL,t,t,NULL,TRUE
313,A successful job interview begins with a firm handshake and ends with ____.,0,1,NULL,f,f,X3,FALSE
404,A Super Soaker™ full of cat pee.,,,NULL,t,t,NULL,TRUE
1353,A surprising amount of hair.,,,NULL,f,f,X3,TRUE
1219,"A sweaty, panting leather daddy.",,,NULL,f,f,X2,TRUE
1236,A sweet spaceship.,,,NULL,f,f,X2,TRUE
166,A thermonuclear detonation.,,,NULL,t,t,NULL,TRUE
228,A time travel paradox.,,,NULL,t,t,NULL,TRUE
169,A tiny horse.,,,NULL,t,t,NULL,TRUE
1375,A vagina that leads to another dimension.,,,NULL,f,f,X3,TRUE
342,A vajazzled vagina.,,,NULL,t,f,1.1,TRUE
1075,A web of lies.,,,NULL,f,f,X1,TRUE
308,A windmill full of corpses.,,,NULL,t,t,NULL,TRUE
1076,A woman scorned.,,,NULL,f,f,X1,TRUE
148,A zesty breakfast burrito.,,,NULL,t,t,NULL,TRUE
30,Aaron Burr.,,,NULL,t,t,NULL,TRUE
15,Abstinence.,,,NULL,t,f,1.1,TRUE
16,Achieving 500 actions per minute.,,,NULL,f,f,X3,TRUE
17,Action Stations! Action Stations! Set condition one throughout the fleet and brace for ____!,0,1,NULL,f,f,X3,FALSE
455,Active listening.,,,NULL,t,t,NULL,TRUE
1321,"Actually getting shot, for real.",,,NULL,f,f,X3,TRUE
501,Actually taking candy from a baby.,,,NULL,f,t,1.2,TRUE
311,Adderall™.,,,NULL,t,t,NULL,TRUE
301,African children.,,,NULL,t,f,1.1,TRUE
54,"After Hurricane Katrina, Sean Penn brought _____ to all the people of New Orleans.",0,1,NULL,t,f,1.1,FALSE
1170,"After months of debate, the Occupy Wall Street General Assembly could only agree on ""More ____!""",0,1,NULL,f,f,X2,FALSE
1171,"After months of practice with ____, I think I’m finally ready for ____.",0,2,NULL,f,f,X3,FALSE
95,"After the earthquake, Sean Penn brought _____ to the people of Haiti.",0,1,NULL,f,t,1.2,FALSE
87,Agriculture.,,,NULL,t,t,NULL,TRUE
152,AIDS.,,,NULL,t,t,NULL,TRUE
1005,Air Canada guidelines now prohibit ____ on airplanes.,0,1,NULL,f,f,CAN,FALSE
327,Alcoholism.,,,NULL,t,t,NULL,TRUE
1337,All my friends dying.,,,NULL,f,f,X3,TRUE
1199,All of this blood.,,,NULL,f,f,X2,TRUE
198,All-you-can-eat shrimp for $4.99.,,,NULL,t,t,NULL,TRUE
259,Altar boys.,,,NULL,t,t,NULL,TRUE
14,Alternative medicine is now embracing the curative powers of _____.,0,1,NULL,t,t,NULL,FALSE
381,American Gladiators.,,,NULL,t,t,NULL,TRUE
23,Amputees.,,,NULL,t,t,NULL,TRUE
1345,An all-midget production of Shakespeare’s Richard III.,,,NULL,f,f,X3,TRUE
1230,An army of skeletons.,,,NULL,f,f,X2,TRUE
1231,An ass disaster.,,,NULL,f,f,X3,TRUE
295,An asymmetric boob job.,,,NULL,t,t,NULL,TRUE
393,An erection that lasts longer than four hours.,,,NULL,t,t,NULL,TRUE
1235,An ether-soaked rag.,,,NULL,f,f,X2,TRUE
14,An honest cop with nothing left to lose.,,,NULL,t,t,NULL,TRUE
58,An icepick lobotomy.,,,NULL,t,t,NULL,TRUE
1015,An icy handjob from an Edmonton hooker.,,,NULL,f,f,CAN,TRUE
1301,An immediately regrettable $9 hot dog from the Boston Convention Center.,,,NULL,f,f,X3,TRUE
1053,An international tribunal has found ____ guilty of ____.,0,2,NULL,f,f,X1,FALSE
389,An M. Night Shyamalan plot twist.,,,NULL,t,t,NULL,TRUE
102,An Oedipus complex.,,,NULL,t,t,NULL,TRUE
1207,An unhinged ferris wheel rolling toward the sea.,,,NULL,f,f,X2,TRUE
1343,An unstoppable wave of fire ants.,,,NULL,f,f,X3,TRUE
459,Anal beads.,,,NULL,t,t,NULL,TRUE
1063,"And I would have gotten away with it, too, if it hadn't been for ____!",0,1,NULL,f,f,X1,FALSE
78,And the Academy Award for _____ goes to _____.,0,2,NULL,t,t,NULL,FALSE
79,And what did you bring for show and tell?,0,1,NULL,f,f,X3,FALSE
448,Another goddamn vampire movie.,,,NULL,t,t,NULL,TRUE
1223,Another shot of morphine.,,,NULL,f,f,X2,TRUE
18,Anthropologists have recently discovered a primitive tribe that worships _____.,0,1,NULL,t,t,NULL,FALSE
1078,Apologizing.,,,NULL,f,f,X1,TRUE
1079,Appreciative snapping.,,,NULL,f,f,X1,TRUE
59,Arnold Schwarzenegger.,,,NULL,t,t,NULL,TRUE
60,"As part of his contract, Prince won’t perform without ____ in his dressing room.",0,1,NULL,f,f,X3,FALSE
61,"As part of his daily regimen, Anderson Cooper sets aside 15 minutes for ____.",0,1,NULL,f,f,X3,FALSE
326,Asians who aren't good at math.,,,NULL,t,t,NULL,TRUE
213,Assless chaps.,,,NULL,t,t,NULL,TRUE
287,Attitude.,,,NULL,t,t,NULL,TRUE
336,Auschwitz.,,,NULL,t,t,NULL,TRUE
175,Authentic Mexican cuisine.,,,NULL,t,t,NULL,TRUE
3,Autocannibalism.,,,NULL,t,t,NULL,TRUE
431,AXE Body Spray.,,,NULL,t,t,NULL,TRUE
151,Balls.,,,NULL,t,t,NULL,TRUE
454,Bananas in Pajamas.,,,NULL,t,f,1.1,TRUE
384,Barack Obama.,,,NULL,t,t,NULL,TRUE
1253,Basic human decency.,,,NULL,f,f,X2,TRUE
412,BATMAN!!!,,,NULL,t,t,NULL,TRUE
1081,Beating your wives.,,,NULL,f,f,X1,TRUE
1224,Beefin' over turf.,,,NULL,f,f,X2,TRUE
318,Bees?,,,NULL,t,t,NULL,TRUE
1178,"Before ____, all we had was ____.",0,2,NULL,f,f,X2,FALSE
1159,"Before I run for president, I must destroy all evidence of my involvement with ____.",0,1,NULL,f,f,X2,FALSE
s,Being a busy adult with many important things to do.,,,NULL,f,f,X1,TRUE
95,Being a dick to children.,,,NULL,t,t,NULL,TRUE
1082,Being a dinosaur.,,,NULL,f,f,X1,TRUE
194,Being a motherfucking sorcerer.,,,NULL,t,t,NULL,TRUE
1221,Being awesome at sex.,,,NULL,f,f,X2,TRUE
1011,Being Canadian.,,,NULL,f,f,CAN,TRUE
347,Being fabulous.,,,NULL,t,t,NULL,TRUE
26,Being marginalized.,,,NULL,t,t,NULL,TRUE
340,Being on fire.,,,NULL,t,t,NULL,TRUE
109,Being rich.,,,NULL,t,t,NULL,TRUE
331,Bestiality.,,,NULL,t,f,1.1,TRUE
1367,"Bill Clinton, naked on a bearskin rug with a saxophone.",,,NULL,f,f,X3,TRUE
304,Bill Nye the Science Guy.,,,NULL,t,t,NULL,TRUE
35,BILLY MAYS HERE FOR _____.,0,1,NULL,t,t,NULL,FALSE
45,Bingeing and purging.,,,NULL,t,t,NULL,TRUE
305,Bitches.,,,NULL,t,t,NULL,TRUE
413,Black people.,,,NULL,t,t,NULL,TRUE
88,Bling.,,,NULL,t,t,NULL,TRUE
89,Blood farts.,,,NULL,f,f,X3,TRUE
1381,Blowing some dudes in an alley.,,,NULL,f,f,X3,TRUE
369,Booby-trapping the house to foil burglars.,,,NULL,t,t,NULL,TRUE
471,Boogers.,,,NULL,f,t,1.2,TRUE
1240,Boris the Soviet Love Hammer.,,,NULL,f,f,X2,TRUE
1084,Bosnian chicken farmers.,,,NULL,f,f,X1,TRUE
466,Breaking out into song and dance.,,,NULL,f,t,1.2,TRUE
199,Britney Spears at 55.,,,NULL,t,t,NULL,TRUE
1226,Bullshit.,,,NULL,f,f,X2,TRUE
1023,Burning down the White House.,,,NULL,f,f,CAN,TRUE
57,"But before I kill you, Mr. Bond, I must show you _____.",0,1,NULL,t,t,NULL,FALSE
1357,Buying the right pants to be cool.,,,NULL,f,f,X3,TRUE
1358,"Call the law offices of Goldstein & Goldstein, because no one should have to tolerate ____ in the workplace.",0,1,NULL,f,f,X3,FALSE
1021,Canada: America's Hat.,,,NULL,f,f,CAN,TRUE
203,Cards Against Humanity.,,,NULL,t,t,NULL,TRUE
1086,Carnies.,,,NULL,f,f,X1,TRUE
1303,Casting Magic Missle at a bully.,,,NULL,f,f,X3,TRUE
142,Catapults.,,,NULL,t,t,NULL,TRUE
1184,Catastrophic urethral trauma.,,,NULL,f,f,X2,TRUE
430,Centaurs.,,,NULL,t,t,NULL,TRUE
52,Chainsaws for hands.,,,NULL,t,t,NULL,TRUE
1177,Charades was ruined for me forever when my mom had to act out ____.,0,1,NULL,f,f,X2,FALSE
1178,Charging up all the way.,,,NULL,f,f,X3,TRUE
464,Charisma.,,,NULL,f,t,1.2,TRUE
47,Cheating in the Special Olympics.,,,NULL,t,t,NULL,TRUE
184,Child abuse.,,,NULL,t,t,NULL,TRUE
429,Child beauty pageants.,,,NULL,t,t,NULL,TRUE
434,Children on leashes.,,,NULL,t,t,NULL,TRUE
107,Chivalry.,,,NULL,t,t,NULL,TRUE
149,Christopher Walken.,,,NULL,t,t,NULL,TRUE
1333,Chugging a lava lamp.,,,NULL,f,f,X3,TRUE
1036,Chunks of dead prostitute.,,,NULL,f,f,B,TRUE
468,Chutzpah.,,,NULL,f,t,1.2,TRUE
337,Civilian casualties.,,,NULL,t,t,NULL,TRUE
1077,Clams.,,,NULL,f,f,X1,TRUE
368,Classist undertones.,,,NULL,t,t,NULL,TRUE
1,Coat hanger abortions.,,,NULL,t,t,NULL,TRUE
2,Cock.,,,NULL,f,f,X3,TRUE
320,Cockfights.,,,NULL,t,t,NULL,TRUE
113,College.,,,NULL,t,t,NULL,TRUE
52,"Coming to Broadway this season, _____: The Musical.",0,1,NULL,t,t,NULL,FALSE
18,Concealing a boner.,,,NULL,t,t,NULL,TRUE
92,Consultants.,,,NULL,t,t,NULL,TRUE
120,Cookie Monster devouring the Eucharist wafers.,,,NULL,t,f,1.1,TRUE
417,Copping a feel.,,,NULL,t,t,NULL,TRUE
1087,Coughing into a vagina.,,,NULL,f,f,X1,TRUE
111,Count Chocula.,,,NULL,t,t,NULL,TRUE
310,Crippling debt.,,,NULL,t,f,1.1,TRUE
289,Crumpets with the Queen.,,,NULL,t,t,NULL,TRUE
290,Crying into the pages of Sylvia Plath.,,,NULL,f,f,X3,TRUE
503,Crystal meth.,,,NULL,f,t,1.2,TRUE
1007,"CTV presents ____, the story of ____.",0,2,NULL,f,f,CAN,FALSE
29,Cuddling.,,,NULL,t,t,NULL,TRUE
491,Customer service representatives.,,,NULL,f,t,1.2,TRUE
446,Cybernetic enhancements.,,,NULL,t,t,NULL,TRUE
208,Daddy issues.,,,NULL,t,t,NULL,TRUE
1032,"Daddy, why is Mommy crying?",0,1,NULL,f,f,B,FALSE
1190,Daddy's belt.,,,NULL,f,f,X2,TRUE
1089,Dancing with a broom.,,,NULL,f,f,X1,TRUE
232,Darth Vader.,,,NULL,t,t,NULL,TRUE
352,Date rape.,,,NULL,t,t,NULL,TRUE
158,Dave Matthews Band.,,,NULL,t,f,1.1,TRUE
426,Dead babies.,,,NULL,t,t,NULL,TRUE
296,Dead parents.,,,NULL,t,t,NULL,TRUE
92,"Dear Abby, I'm having some trouble with _____ and would like your advice.",0,1,NULL,f,t,1.2,FALSE
1047,"Dear Sir or Madam, We regret to inform you that the Office of ____ has denied your request for ____.",0,2,NULL,f,f,X1,FALSE
1255,Death by Steven Seagal.,,,NULL,f,f,X2,TRUE
1090,Deflowering the princess.,,,NULL,f,f,X1,TRUE
1091,Demonic possession.,,,NULL,f,f,X3,TRUE
171,Dental dams.,,,NULL,t,t,NULL,TRUE
125,Dick Cheney.,,,NULL,t,t,NULL,TRUE
364,Dick fingers.,,,NULL,t,t,NULL,TRUE
1222,"Dining with cardboard cutouts of the cast of ""Friends.""",,,NULL,f,f,X2,TRUE
1223,Disco fever.,,,NULL,f,f,X3,TRUE
373,Doin' it in the butt.,,,NULL,t,t,NULL,TRUE
7,Doing the right thing.,,,NULL,t,t,NULL,TRUE
267,Domino's™ Oreo™ Dessert Pizza.,,,NULL,t,t,NULL,TRUE
1022,Don Cherry's wardrobe.,,,NULL,f,f,CAN,TRUE
285,Donald Trump.,,,NULL,t,f,1.1,TRUE
1091,Dorito breath.,,,NULL,f,f,X1,TRUE
1191,Double penetration.,,,NULL,f,f,X2,TRUE
273,Douchebags on their iPhones.,,,NULL,t,f,1.1,TRUE
179,Drinking alone.,,,NULL,t,t,NULL,TRUE
180,Drinking ten 5-hour ENERGYs to get fifty continuous hours of energy.,,,NULL,f,f,X3,TRUE
225,Dropping a chandelier on your enemies and riding the rope up.,,,NULL,t,t,NULL,TRUE
333,Drum circles.,,,NULL,t,f,1.1,TRUE
456,Dry heaving.,,,NULL,t,t,NULL,TRUE
55,"Due to a PR fiasco, Walmart no longer offers _____.",0,1,NULL,t,f,1.1,FALSE
56,During high school I never really fit in until I found ____ club.,0,1,NULL,f,f,X3,FALSE
1156,"During his midlife crisis, my dad got really into ____.",0,1,NULL,f,f,X2,FALSE
13,"During Picasso's often-overlooked Brown Period, he produced hundreds of paintings of _____.",0,1,NULL,t,t,NULL,FALSE
33,"During sex, I like to think about _____.",0,1,NULL,t,t,NULL,FALSE
438,Dwarf tossing.,,,NULL,t,t,NULL,TRUE
439,Dying alone and in pain.,,,NULL,f,f,X3,TRUE
70,Dying of dysentery.,,,NULL,t,t,NULL,TRUE
63,Dying.,,,NULL,t,t,NULL,TRUE
264,Eastern European Turbo-Folk music.,,,NULL,t,f,1.1,TRUE
103,Eating all of the cookies before the AIDS bake-sale.,,,NULL,t,t,NULL,TRUE
1092,Eating an albino.,,,NULL,f,f,X1,TRUE
231,Eating the last known bison.,,,NULL,t,t,NULL,TRUE
232,Eating Tom Selleck’s mustache to gain his powers.,,,NULL,f,f,X3,TRUE
196,Edible underpants.,,,NULL,t,t,NULL,TRUE
36,Elderly Japanese men.,,,NULL,t,t,NULL,TRUE
490,Embryonic stem cells.,,,NULL,f,t,1.2,TRUE
118,Emotions.,,,NULL,t,t,NULL,TRUE
1093,Enormous Scandinavian women.,,,NULL,f,f,X1,TRUE
480,Erectile dysfunction.,,,NULL,f,t,1.2,TRUE
359,Estrogen.,,,NULL,t,t,NULL,TRUE
46,Ethnic cleansing.,,,NULL,t,t,NULL,TRUE
244,Eugenics.,,,NULL,t,t,NULL,TRUE
486,Euphoria™ by Calvin Klein.,,,NULL,f,t,1.2,TRUE
1174,Everyone down on the ground! We don't want to hurt anyone. We're just here for ____.,0,1,NULL,f,f,X2,FALSE
496,Exactly what you'd expect.,,,NULL,f,t,1.2,TRUE
344,Exchanging pleasantries.,,,NULL,t,t,NULL,TRUE
1186,Existing.,,,NULL,f,f,X2,TRUE
473,Expecting a burp and vomiting on the floor.,,,NULL,f,t,1.2,TRUE
283,Explosions.,,,NULL,t,t,NULL,TRUE
1039,Extremely tight pants.,,,NULL,f,f,B,TRUE
1094,Fabricating statistics.,,,NULL,f,f,X1,TRUE
424,Faith healing.,,,NULL,t,f,1.1,TRUE
419,Famine.,,,NULL,t,t,NULL,TRUE
192,Fancy Feast®.,,,NULL,t,t,NULL,TRUE
117,Farting and walking away.,,,NULL,t,t,NULL,TRUE
38,Fear itself.,,,NULL,t,t,NULL,TRUE
172,Feeding Rosie O'Donnell.,,,NULL,t,t,NULL,TRUE
1249,Fetal alcohol syndrome.,,,NULL,f,f,X2,TRUE
202,Fiery poops.,,,NULL,t,t,NULL,TRUE
154,Figgy pudding.,,,NULL,t,t,NULL,TRUE
155,Filling every orifice with butterscotch pudding.,,,NULL,f,f,X3,TRUE
156,Finally! A service that delivers ____ right to your door.,0,1,NULL,f,f,X3,FALSE
1095,Finding a skeleton.,,,NULL,f,f,X1,TRUE
1204,Finding Waldo.,,,NULL,f,f,X2,TRUE
420,Finger painting.,,,NULL,t,t,NULL,TRUE
35,Fingering.,,,NULL,t,t,NULL,TRUE
1305,Firefly: Season 2.,,,NULL,f,f,X3,TRUE
484,Firing a rifle into the air while balls deep in a squealing hog.,,,NULL,f,t,1.2,TRUE
485,Fisting.,,,NULL,f,f,X3,TRUE
145,Five-Dollar Footlongs™.,,,NULL,t,t,NULL,TRUE
68,Flash flooding.,,,NULL,t,t,NULL,TRUE
69,Flavored condoms.,,,NULL,t,f,1.1,TRUE
183,Flesh-eating bacteria.,,,NULL,t,t,NULL,TRUE
5,Flightless birds.,,,NULL,t,t,NULL,TRUE
1341,Flying robots that kill people.,,,NULL,f,f,X3,TRUE
461,Flying sex snakes.,,,NULL,f,t,1.2,TRUE
79,"For my next trick, I will pull _____ out of _____.",0,2,NULL,t,t,NULL,FALSE
62,Foreskin.,,,NULL,t,t,NULL,TRUE
260,Forgetting the Alamo.,,,NULL,t,t,NULL,TRUE
1393,"Forgetting to eat, and consequently dying.",,,NULL,f,f,X3,TRUE
25,Former President George W. Bush.,,,NULL,t,t,NULL,TRUE
272,Free samples.,,,NULL,t,t,NULL,TRUE
150,Friction.,,,NULL,t,t,NULL,TRUE
242,Friendly fire.,,,NULL,t,t,NULL,TRUE
81,Friends who eat all the snacks.,,,NULL,t,t,NULL,TRUE
161,Friends with benefits.,,,NULL,t,t,NULL,TRUE
290,Frolicking.,,,NULL,t,t,NULL,TRUE
1211,Fuck Mountain.,,,NULL,f,f,X2,TRUE
214,Full frontal nudity.,,,NULL,t,t,NULL,TRUE
1096,Gandalf.,,,NULL,f,f,X1,TRUE
157,Gandhi.,,,NULL,t,t,NULL,TRUE
177,Garth Brooks.,,,NULL,t,f,1.1,TRUE
1317,Gay aliens.,,,NULL,f,f,X3,TRUE
94,Geese.,,,NULL,t,t,NULL,TRUE
1097,Genetically engineered super-soldiers.,,,NULL,f,f,X1,TRUE
174,Genghis Khan.,,,NULL,t,t,NULL,TRUE
34,Genital piercings.,,,NULL,t,t,NULL,TRUE
1098,George Clooney's musk.,,,NULL,f,f,X1,TRUE
44,German dungeon porn.,,,NULL,t,t,NULL,TRUE
1099,Getting abducted by Peter Pan.,,,NULL,f,f,X1,TRUE
1100,Getting bitch slapped by Dhalsim.,,,NULL,f,f,X3,TRUE
388,Getting drunk on mouthwash.,,,NULL,t,t,NULL,TRUE
1214,Getting hilariously gang-banged by the Blue Man Group.,,,NULL,f,f,X2,TRUE
1100,"Getting in her pants, politely.",,,NULL,f,f,X1,TRUE
1389,Getting inside the Horadric Cube with a hot babe and pressing the transmute button.,,,NULL,f,f,X3,TRUE
463,Getting naked and watching Nickelodeon.,,,NULL,f,t,1.2,TRUE
280,Getting really high.,,,NULL,t,t,NULL,TRUE
399,Getting so angry that you pop a boner.,,,NULL,t,t,NULL,TRUE
1377,Getting your dick stuck in a Chinese finger trap with another dick.,,,NULL,f,f,X3,TRUE
453,Ghosts.,,,NULL,t,t,NULL,TRUE
454,Girls that always be textin’.,,,NULL,f,f,X3,TRUE
182,Giving 110%.,,,NULL,t,t,NULL,TRUE
1101,Gladiatorial combat.,,,NULL,f,f,X1,TRUE
366,Glenn Beck being harried by a swarm of buzzards.,,,NULL,t,t,NULL,TRUE
449,Glenn Beck catching his scrotum on a curtain hook.,,,NULL,t,t,NULL,TRUE
20,Glenn Beck convulsively vomiting as a brood of crab spiders hatches in his brain and erupts from his tear ducts.,,,NULL,t,t,NULL,TRUE
116,Global warming.,,,NULL,t,t,NULL,TRUE
236,Gloryholes.,,,NULL,t,t,NULL,TRUE
422,Goats eating coins.,,,NULL,t,t,NULL,TRUE
57,Goblins.,,,NULL,t,t,NULL,TRUE
239,God.,,,NULL,t,t,NULL,TRUE
354,GoGurt®.,,,NULL,t,t,NULL,TRUE
355,Going around punching people.,,,NULL,f,f,X3,TRUE
385,Golden showers.,,,NULL,t,t,NULL,TRUE
1102,Good grammar.,,,NULL,f,f,X1,TRUE
416,Grandma.,,,NULL,t,t,NULL,TRUE
1252,Grandpa's ashes.,,,NULL,f,f,X2,TRUE
1248,"Graphic violence, adult language, and some sexual content.",,,NULL,f,f,X2,TRUE
325,Grave robbing.,,,NULL,t,t,NULL,TRUE
230,Guys who don't call.,,,NULL,t,t,NULL,TRUE
271,Half-assed foreplay.,,,NULL,t,t,NULL,TRUE
435,Harry Potter erotica.,,,NULL,t,t,NULL,TRUE
307,Have some more kugel.,,,NULL,t,f,1.1,TRUE
308,Having problems with ____? Try ____!,0,2,NULL,f,f,X3,FALSE
309,Having sex on top of a pizza.,,,NULL,f,f,X3,TRUE
310,Having shotguns for legs.,,,NULL,f,f,X3,TRUE
1045,He who controls ____ controls the world.,0,1,NULL,f,f,X1,FALSE
77,Heartwarming orphans.,,,NULL,t,t,NULL,TRUE
100,Heath Ledger.,,,NULL,t,f,1.1,TRUE
309,"Her Royal Highness, Queen Elizabeth II.",,,NULL,t,t,NULL,TRUE
1024,Heritage minutes.,,,NULL,f,f,CAN,TRUE
49,Heteronormativity.,,,NULL,t,t,NULL,TRUE
50,"Hey baby, come back to my place and I’ll show you ____.",0,1,NULL,f,f,X3,FALSE
1185,Hillary Clinton's death stare.,,,NULL,f,f,X2,TRUE
1103,Hipsters.,,,NULL,f,f,X1,TRUE
1104,Historical revisionism.,,,NULL,f,f,X1,TRUE
75,Historically black colleges.,,,NULL,t,t,NULL,TRUE
482,Home video of Oprah sobbing into a Lean Cuisine®.,,,NULL,f,t,1.2,TRUE
234,Homeless people.,,,NULL,t,t,NULL,TRUE
1025,Homo milk.,,,NULL,f,f,CAN,TRUE
322,Hope.,,,NULL,t,t,NULL,TRUE
60,Hormone injections.,,,NULL,t,t,NULL,TRUE
470,Horrifying laser hair removal accidents.,,,NULL,f,t,1.2,TRUE
33,Horse meat.,,,NULL,t,t,NULL,TRUE
476,Hot cheese.,,,NULL,f,t,1.2,TRUE
415,Hot people.,,,NULL,t,t,NULL,TRUE
229,Hot Pockets®.,,,NULL,t,t,NULL,TRUE
